Sampdoria	Torino FC	0:0	0:0	26.01.1986	00:00	1985	1986	19
Pisa SC	Atalanta	0:1	1:1	26.01.1986	00:00	1985	1986	19
US Lecce	ACF Fiorentina	0:1	2:1	26.01.1986	00:00	1985	1986	19
Inter	Udinese Calcio	0:1	2:1	26.01.1986	00:00	1985	1986	19
Calcio Como	AS Bari	1:1	1:1	26.01.1986	00:00	1985	1986	19
US Avellino	AC Milan	1:0	1:1	26.01.1986	00:00	1985	1986	19
Juventus	Hellas Verona	0:0	3:0	26.01.1986	00:00	1985	1986	19
ACF Fiorentina	Calcio Como	0:0	1:0	09.02.1986	00:00	1985	1986	20
Hellas Verona	Inter	0:0	0:0	09.02.1986	00:00	1985	1986	20
Udinese Calcio	US Avellino	2:0	3:1	09.02.1986	00:00	1985	1986	20
Torino FC	AS Roma	0:1	0:1	09.02.1986	00:00	1985	1986	20
Atalanta	Juventus	0:0	0:0	09.02.1986	00:00	1985	1986	20
AC Milan	Sampdoria	2:2	2:2	09.02.1986	00:00	1985	1986	20
AS Bari	Pisa SC	0:0	0:0	09.02.1986	00:00	1985	1986	20
SSC Napoli	US Lecce	1:0	1:0	09.02.1986	00:00	1985	1986	20
AS Roma	US Avellino	1:1	5:1	16.02.1986	00:00	1985	1986	21
Juventus	Torino FC	1:0	1:1	16.02.1986	00:00	1985	1986	21
Pisa SC	Udinese Calcio	0:0	0:0	16.02.1986	00:00	1985	1986	21
Sampdoria	Hellas Verona	0:0	0:0	16.02.1986	00:00	1985	1986	21
Inter	AS Bari	0:0	1:0	16.02.1986	00:00	1985	1986	21
Calcio Como	AC Milan	0:0	1:1	16.02.1986	00:00	1985	1986	21
SSC Napoli	ACF Fiorentina	0:0	0:0	16.02.1986	00:00	1985	1986	21
US Lecce	Atalanta	0:0	2:1	16.02.1986	00:00	1985	1986	21
Udinese Calcio	Calcio Como	1:1	2:2	23.02.1986	00:00	1985	1986	22
Hellas Verona	SSC Napoli	1:0	2:2	23.02.1986	00:00	1985	1986	22
